Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total ('000),Share of workforce
1988,1111,Chief Executives and Managing Directors,1,14,21.87659401,"""0.31%"""
1988,1413,Hotel and Motel Managers,2,0.4,21.21795424,"""0.30%"""
1988,1112,General Managers,1,14,19.21630962,"""0.27%"""
1988,1311,"Advertising, Public Relations and Sales Managers",1,1.5,50.712013,"""0.72%"""
1988,1344,Other Education Managers,1,0.7,4.255108083,"""0.06%"""
1988,1211,Aquaculture Farmers,1,31.2,1.81888578,"""0.02%"""
1988,1343,School Principals,1,0.7,9.437100745,"""0.13%"""
1988,1212,Crop Farmers,1,51,48.48166671,"""0.68%"""
1988,1325,Research and Development Managers,1,1.7,3.369289173,"""0.04%"""
1988,1213,Livestock Farmers,1,37.4,95.06203922,"""1.35%"""
1988,1334,Manufacturers,1,3,26.26826925,"""0.37%"""
1988,1214,Mixed Crop and Livestock Farmers,1,59,106.4535565,"""1.51%"""
1988,1341,Child Care Centre Managers,1,1.5,3.570366628,"""0.05%"""
1988,1351,ICT Managers,1,3.5,8.820430403,"""0.12%"""
1988,1321,Corporate Services Managers,1,38.9,2.112839385,"""0.03%"""
1988,1493,Conference and Event Organisers,2,4.9,3.29361181,"""0.04%"""
1988,1322,Finance Managers,1,6.9,23.33299293,"""0.33%"""
1988,1342,Health and Welfare Services Managers,1,5,3.063818815,"""0.04%"""
1988,1323,Human Resource Managers,1,11.3,9.943581775,"""0.14%"""
1988,1335,Production Managers,1,5.5,32.35328082,"""0.46%"""
1988,1324,Policy and Planning Managers,1,25,17.10213804,"""0.24%"""
1988,1411,Cafe and Restaurant Managers,2,8.3,27.84986985,"""0.39%"""
1988,1331,Construction Managers,1,9.5,51.63911074,"""0.73%"""
1988,1332,Engineering Managers,1,25,3.015039955,"""0.04%"""
1988,1333,"Importers, Exporters and Wholesalers",1,23.9,11.9573714,"""0.17%"""
1988,1399,Other Specialist Managers,1,13.1,10.28460894,"""0.14%"""
1988,1336,"Supply, Distribution and Procurement Managers",1,59,10.01431335,"""0.14%"""
1988,1421,Retail Managers,2,16.1,190.7060153,"""2.71%"""
1988,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,5.53557313,"""0.07%"""
1988,1412,Caravan Park and Camping Ground Managers,2,25,3.475207018,"""0.04%"""
1988,1414,Licensed Club Managers,2,25,4.661837743,"""0.06%"""
1988,1391,Commissioned Officers (Management),1,25,1.079602025,"""0.01%"""
1988,1419,Other Accommodation and Hospitality Managers,2,26.1,4.425451868,"""0.06%"""
1988,1499,"Other Hospitality, Retail and Service Managers",2,26.4,55.7723357,"""0.79%"""
1988,1492,Call or Contact Centre and Customer Service Managers,2,49.9,11.46289511,"""0.16%"""
1988,1494,Transport Services Managers,2,59,13.79351574,"""0.19%"""
1988,2511,Nutrition Professionals,1,0.4,0.876984108,"""0.01%"""
1988,2111,"Actors, Dancers and Other Entertainers",1,21.4,3.356776408,"""0.04%"""
1988,2112,Music Professionals,1,5.2,7.81998504,"""0.11%"""
1988,2491,Education Advisers and Reviewers,1,0.4,6.521463638,"""0.09%"""
1988,2113,Photographers,1,2.1,5.542013573,"""0.07%"""
1988,2114,Visual Arts and Crafts Professionals,1,16.5,10.38803084,"""0.14%"""
1988,2723,Psychologists,1,0.5,4.52984181,"""0.06%"""
1988,2121,"Artistic Directors, and Media Producers and Presenters",1,10,5.23828354,"""0.07%"""
1988,2122,"Authors, and Book and Script Editors",1,38.5,2.96049316,"""0.04%"""
1988,2523,Dental Practitioners,1,0.5,5.336078503,"""0.07%"""
1988,2123,"Film, Television, Radio and Stage Directors",1,8.5,5.431889928,"""0.07%"""
1988,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,2.63492638,"""0.03%"""
1988,2124,Journalists and Other Writers,1,17,15.61716486,"""0.22%"""
1988,2211,Accountants,1,94.3,76.62381842,"""1.09%"""
1988,2611,ICT Business and Systems Analysts,1,0.7,7.618907478,"""0.10%"""
1988,2212,"Auditors, Company Secretaries and Corporate Treasurers",1,76.3,7.510284783,"""0.10%"""
1988,2221,Financial Brokers,2,36,9.278583823,"""0.13%"""
1988,2222,Financial Dealers,1,20.5,10.76932581,"""0.15%"""
1988,2521,Chiropractors and Osteopaths,1,0.8,1.441329105,"""0.02%"""
1988,2223,Financial Investment Advisers and Managers,1,43.8,13.83048938,"""0.19%"""
1988,2414,Secondary School Teachers,1,0.8,110.247344,"""1.56%"""
1988,2231,Human Resource Professionals,1,24.8,17.84673413,"""0.25%"""
1988,2415,Special Education Teachers,1,1.1,5.27379234,"""0.07%"""
1988,2232,ICT Trainers,1,1.4,2.814590485,"""0.04%"""
1988,2233,Training and Development Professionals,1,1.4,7.003724285,"""0.09%"""
1988,2341,Agricultural and Forestry Scientists,1,1.1,2.894714815,"""0.04%"""
1988,2241,"Actuaries, Mathematicians and Statisticians",1,11.9,2.0893316,"""0.02%"""
1988,2242,"Archivists, Curators and Records Managers",1,56,0.95093203,"""0.01%"""
1988,2515,Pharmacists,1,1.2,15.52834441,"""0.22%"""
1988,2243,Economists,1,43,2.860277298,"""0.04%"""
1988,2244,Intelligence and Policy Analysts,1,23,3.242906673,"""0.04%"""
1988,2722,Ministers of Religion,1,1.3,12.0195869,"""0.17%"""
1988,2245,Land Economists and Valuers,1,67.6,3.920976915,"""0.05%"""
1988,2247,Management and Organisation Analysts,1,10.9,12.55996746,"""0.17%"""
1988,2246,Librarians,1,59.5,10.86158604,"""0.15%"""
1988,2331,Chemical and Materials Engineers,1,1.8,2.049694248,"""0.02%"""
1988,2332,Civil Engineering Professionals,1,1.9,24.87106017,"""0.35%"""
1988,2249,Other Information and Organisation Professionals,1,35.2,2.787393368,"""0.03%"""
1988,2251,Advertising and Marketing Professionals,1,58.2,12.9313406,"""0.18%"""
1988,2335,"Industrial, Mechanical and Production Engineers",1,2.1,23.56795853,"""0.33%"""
1988,2252,ICT Sales Professionals,1,15.1,5.713459818,"""0.08%"""
1988,2321,Architects and Landscape Architects,1,2.2,12.28692526,"""0.17%"""
